username,tweet,pure_tweet
b'gun',Aw,b'Aw'
b'Urah',She got the kind of love that call you back Itll bleed you there and watch you crack on the floor Oh no no no no no no no no no Surely as the moon will rise Shell fashion daggers through your eyes She waited for her prince to come Then shot him with his royal,"b""She got the kind of love that call you back\nIt'll bleed you there and watch you crack on the floor\nOh no no no no no no no no no\n \nSurely as the moon will rise\nShe'll fashion daggers through your eyes\nShe waited for her prince to come\nThen shot him with his royal """
b'Imam Gunawan',Join Imotas  Mainnet journey and be part of our exciting  revenue sharing model,"b""Join Imota's 2024 Mainnet journey and be part of our exciting 70% revenue sharing model! """
b'Mike kinsey',The cartel will want there cut  then what You cant say no ya feel me You could but you and who ever else is around will get a dose of what will happen Ya know automatic,"b'The cartel will want there cut ,,  then what??\nYou cant say no,  ya feel me\nYou could but you and who ever else is around will get a dose of what will happen\nYa know automatic '"
b'EyesOnGovernment   ',Police took possession of E Jean Carrolls unregistered,"b""Police took possession of E. Jean Carroll's unregistered """
b'\xe3\x83\x88\xe3\x83\xbc\xe3\x82\xab393 \xe9\x80\x80\xe8\x81\xb7\xe6\xa4\x9c\xe8\xa8\x8e\xe4\xb8\xad',,b'\xe5\x9b\x9e\xe3\x82\x8b\xe5\xaf\xbf\xe5\x8f\xb8\xe9\xa3\x9f\xe3\x81\xb9\xe3\x81\x84\xe3\x81\x93\xe3\x81\x86\xe3\x81\x9c'
"b'Kevin, irritated Padres fan'",Jake with a big brain play to pop right out of the netting and,b'Jake with a big brain play to pop right out of the netting and '
b'\xe3\x81\xbd\xe3\x81\xa4',,b'\xe7\xa7\x81\xe3\x81\xae\xe6\x8b\x92\xe9\xa3\x9f\xe8\x84\xb3\xe3\x82\xaf\xe3\x82\xba\xe3\x81\x99\xe3\x81\x8e\xe3\x82\x8b\xe3\x80\x82\xe3\x81\x94\xe3\x82\x81\xe3\x82\x93\xe3\x81\xaa\xe3\x81\x95\xe3\x81\x84'
b'\xe3\x81\xbe\xe3\x82\x86\xe3\x81\x93',,b'\xe3\x83\x97\xe3\x83\xad\xe3\x83\x95\xe3\x82\xa3\xe3\x83\xbc\xe3\x83\xab\xe3\x81\xae\xe3\x83\x81\xe3\x82\xa7\xe3\x83\x83\xe3\x82\xaf\xe3\x81\x8a\xe9\xa1\x98\xe3\x81\x84\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82'
b'Josue',Dawg that is not ketchup or mustard,b'Dawg that is not ketchup or mustard '
b'pussum',I dont know if you know what you are talking or basically a no brainer if someonereported of violencecriminal etchas a,"b'I don\xe2\x80\x99t know if you know what you are talking or basically a no brainer, if someone(reported of violence/criminal etc.)has a '"
b'GGG',Okay Leftist,"b'Okay, Leftist '"
b'Marvin gene Morris foreign service officer',about every time I cut on the news or every time I cut on the TV I hear something about,b'about every time I cut on the news or every time I cut on the TV I hear something about '
b'taz',them going back on their rules always feels like bullshit like tf do you mean they just one day they felt like deleting  years worth of ugc,b'them going back on their rules always feels like bullshit like tf do you mean they just one day they felt like deleting 4 years worth of ugc '
b'Jean Ralphio',If I had a,b'If I had a '
b'\xe3\x81\xb1\xe3\x81\x8f\xe3\x81\x94\xe3\x81\xac\xe3\x81\x8f\xe3\x81\xa1\xe3\x82\x83\xe3\x82\x93',,b'\xe3\x82\xab\xe3\x82\xb7\xe3\x85\x8b\xe3\x85\x8b\xe3\x85\x8b\xe3\x85\x8b\xe3\x85\x8b'
b'\xec\xa7\x84',,b'\xec\xa0\x9c\xea\xb0\x80 \xec\x95\x8c\xea\xb8\xb0\xeb\xa1\xa0 \xed\x94\x84\xeb\xa1\x9c\xec\x82\xac\xeb\x9e\x91\xea\xbe\xbc \xec\x9d\x84 \xec\xa4\x84\xec\x97\xac\xec\x84\x9c \xeb\xa7\x90\xed\x95\x98\xeb\x8a\x94 \xea\xb2\x81\xeb\x8b\x88\xeb\x8b\xa4.'
b'Urah',Surely as the moon will rise Shell fashion daggers through your eyes She waited for her prince to come Then shot him with his royal,"b""Surely as the moon will rise\nShe'll fashion daggers through your eyes\nShe waited for her prince to come\nThen shot him with his royal """
b'Anant Brahmand Ekam Satya',Pichkariwater,b'Pichkari(water '
b'gun',Berotot,b'Berotot'
b'BelowZero99',So close to having a nice long scar down his leg as a reminder not play with,b'So close to having a nice long scar down his leg as a reminder not play with '
